variable_number,variable_name,data_type,variable_label,variable_options_at_entry
86,PRINR,numeric,Pre-operative International Normalized Ratio (INR) of PT values,
87,PRPT,numeric,Pre-operative PT,
88,OPNOTE,character,Surgeon who dictated the operative note.,
89,PGY,numeric,Highest Level of Resident Surgeon,0-10
90,EMERGNCY,character,Emergency case,Yes; No
91,WNDCLAS,character,Wound classification,1 = Clean; 2 = Clean/Contaminated; 3 = Contaminated; 4 = Dirty/Infected
92,ASACLAS,character,ASA Class,1 = No Disturb; 2 = Mild Distrub; 3 = Severe Distrub; 4 = Life Threat; 5 = Moribund; None assigned
93,AIRTRA,character,Airway trauma,"None; Lip laceration or hematoma; Tooth chipped, loosened or lost; Tongue laceration or hematoma; Pharyngeal laceration; Laryngeal laceration; Failure to intubate"
94,MALLAMP,numeric,Mallampati scale,1; 2; 3; 4
95,MORTPROB,numeric,Estmated probability of mortality,
96,MORBPROB,numeric,Estimated probability of morbidity,
97,RBC,numeric,Number of RBC unites given intraoperatively,
98,ANESURG,numeric,Duration from Anesthesia start to surgery start,
99,SURGANE,numeric,Duration from Surgery stop to Anesthesia stop,
100,DPATRM,numeric,Duration patient is in Room,
101,ANETIME,numeric,Duration of Anesthesia,
102,OPTIME,numeric,Total operation time,
103,TYPEINTOC,character,Type of intraoperative occurrence,Cardiac arrest requiring CPR; Myocardial infarction; Unplanned Intubation
104,SDISDT,numeric,Year discharged/transferred from surgical service,
105,HDISDT,numeric,Hospital discharge year,
106,YRDEATH,numeric,Year of death,
107,TOTHLOS,numeric,Length of total hospital stay,
108,ADMQTR,numeric,Quarter of Admission,
109,HTOODAY,numeric,Days from Hospital Admission to Operation,
110,STOODAY,numeric,Days from Surgical Admision to Operation,
111,TOTSLOS,numeric,Length of total surgical stay,
112,NSUPINFEC,numeric,Number of Wound Occurrences,
113,SUPINFEC,character,Superficial surgical site infection,Yes; No
114,DSUPINFEC,numeric,Days from Operation until Superficial Incisional SSI Complication,
115,NWNDINFD,numeric,Number of Deep Incisional SSI Occurrences,
116,WNDINFD,character,Occurrences Deep Incisional SSI,Deep Incisional SSI; No Complication
117,DWNDINFD,numeric,Days from Operation until Deep Incisional SSI Complication,
118,NORGSPCSSI,numeric,Number of Organ/Space SSI Occurrences,
119,ORGSPCSSI,character,Occurrences Organ Space SSI,Organ/Space SSI; No Complication
120,DORGSPCSSI,character,Organ/Space SSI PATOS,Yes; No
121,NDEHIS,numeric,Number of Wound Disruption Occurrences,
122,DEHIS,character,Occurrences Wound Disrupt,Wound Disruption; No Complication
123,DDEHIS,numeric,Days from Operation until Wound Disruption Complication,
124,NOUPNEUMO,numeric,Number of Pneumonia Occurrences,
125,OUPNEUMO,character,Pneumonia; No Complication,
126,DOUPNEUMO,numeric,Days from Operation until Pneumonia Complication,
127,NREINTUB,numeric,Number of Unplanned Intubation Occurrences,
128,REINTUB,character,Occurrences unplanned intubation,Unplanned Intubation; No Complication
129,DREINTUB,numeric,Days from Operation until Unplanned Intubation Complication,
130,NPULEMBOL,numeric,Number of Pulmonary Embolism Occurrences,
131,PULEMBOL,character,Occurrences Pulmonary Embolism,Pulmonary Embolism; No Complication
132,DPULEMBOL,numeric,Days from Operation until Pulmonary Embolism Complication,
133,NFAILWEAN,numeric,Number of On Ventilator > 48 Hours Occurrences,
134,FAILWEAN,character,Occurrences Ventilator > 48 hours,On Ventilator greater than 48 hours; No Complication
135,DFAILWEAN,numeric,Days from Operation until On Ventilator > 48 Hours Complication,
136,NRENAINSF,numeric,Number of Progressive Renal Insufficiency Occurrences,
137,RENAINSF,character,Occurrences Progressive Renal Insufficiency,Progressive Renal Insufficiency; No Complication
138,DRENAINSF,numeric,Days from Operation until Progressive Renal Insufficiency Complication,
139,NOPRENAFL,numeric,Number of Acute Renal Failure Occurrences,
140,OPRENAFL,character,Occurrences Acute Renal Failure,Acute Renal Failure; No Complication
141,DOPRENAFL,numeric,Days from Operation Until Acute Renal Failure Complication,
142,NURNINFEC,numeric,Number of Urinary Tract Infection Occurences,
143,URNINFEC,character,Occurences Urinary Tract Infection,Urinary Tract Infection; No Complication
144,DURNINFEC,numeric,Days from Operation until Urinary Tract Infection Complcation,
145,NCNSCVA,numeric,Number of Stroke/CVA Occurrences,
146,CNSCVA,character,Stroke/CVA with neurological deficit,Stroke/CVA; No Complication
147,DCNSCVA,numeric,Days from Operation until Stroke/CVA Complication,
148,NCNSCOMA,numeric,Number of Coma > 24 Hours Occurrences,
149,CNSCOMA,character,Coma > 24 Hours,Coma greater than 24 hours; No Complication
150,DCNSCOMA,numeric,Days from Operation until Coma > 24 Hours Complication,
151,NNEURODEF,numeric,Number of Peripehral Nerve Injury Occurrences,
152,NEURODEF,character,Peripheral Nerve Injury,Peripheral nerve injury; No Complication
153,DNEURODEF,numeric,Days from Operation until Peripheral Nerve Injury Complication,
154,NCDARREST,numeric,Number of Cardiac Arrest Requiring CPR Occurrences,
155,CDARREST,character,Occurrences Cardiac Arrest Requiring CPR,Cardiac Arrest Requiring CPR; No Complication
156,DCDARREST,numeric,Days from Operation until Cardiac Arrest Requiring CPR Complication,
157,NCDMI,numeric,Number of Myocardial Infarction Occurrences,
158,CDMI,character,Occurrences Myocardial Infarction,Myocardial Infraction; No Complication
159,DCDMI,numeric,Days from Operation until Myocardial Infarcdtion Complication,
160,NOTHBLEED,numeric,Number of Bleeding Transfusions Occurrences,
161,OTHBLEED,character,Occurrences Bleeding Transfusions,Transfusions/Intraop/Postop; No Complication
162,DOTHBLEED,numeric,Days from Operation Until Bleeding Transfusions Complication,
163,NOTHGRAFL,numeric,Number of Graft/Prosthesis/Flap Failure Occurrences,
164,OTHGRAFL,character,Occurrences Graft/Prosthesis/Flap Failure,Graft/Prosthesis/Flap Failure; No Complication
165,DOTHGRAFL,numeric,Days from Operation until Graft/Prosthesis/Flap Failure Complication,
166,NOTHDVT,numeric,Number of DVT/Thrombophlebitis Occurrences,
167,OTHDVT,character,Occurrences DVT/Thrombophlebitis,DVT Requiring Therapy; No Complication
168,DOTHDVT,numeric,Days from Operation until DVT/Thrombophlebitis Complication,
169,NOTHSYSEP,numeric,Number of Sepsis Occurrences,
170,OTHSYSEP,character,Occurrences Sepsis,Sepsis; No Complication
171,DOTHSYSEP,numeric,Days from Operation until Sepsis Complication,
172,NOTHSESHOCK,numeric,Number of Septic Shock Occurrences,
173,OTHSESHOCK,character,Occurrences Septic Shock,Septic Shock; No Complication
174,DOTHSESHOCK,numeric,Days from Operation until Septic Shock Complication,
175,PODIAG,character,Post-op diagnosis (ICD 9),
176,PODIAGTX,character,Post-op diagnosis Text,
177,RETURNOR,character,Return to OR,Yes; No
178,DSDTOHD,numeric,Days from Surgical Discharge (Acute Care Discharge) to Hospital Discharge,
179,DOPERTOD,numeric,Days from Operation to Death,
180,DOPTODIS,numeric,Days from Operation to Discharge,
181,OTHERCPT,character,CPT Code,
182,OTHERPROC,character,Other Procedure,
183,CONCPT,character,Concurrent CPT,
184,CONCURR,character,Conccurrent Procedure,
185,ELECTSURG,character,Elective Surgery,Yes; No; Unknown
186,DISCHDEST,character,Discharge Destination,"Skilled Care, Not Home; Unskilled Facility Not Home; Facility Which was Home; Home; Separate Acute Care; Rehab; Expired; Unknown"
187,READMISSION,character,Readmission,Yes; No
188,UNPLANREADMISSION,character,Unplanned Readmision,Yes; No
189,REOPERATION,character,Unplanned Reoperation,Yes; No
190,STILLINHOSP,character,Still in Hospital > 30 days,Yes; No
191,SSSIPATOS,character,Superficial Incisional SSI PATOS,Yes; No
192,DSSIPATOS,character,Deep Incisional SSI PATOS,Yes; No
193,OSSIPATOS,character,Organ/Space SSI PATOS,Yes; No
194,PNAPATOS,character,Pneumonia PATOS,Yes; No
195,UTIPATOS,character,UTI PATOS,Yes; No
196,VENTPATOS,character,On Ventilator > 48 Hours PATOS,
197,SEPSISPATOS,character,Sepsis PATOS,
198,SEPSHOCKPATOS,character,Saptic Shock PATOS,
199,RETORPODAYS,numeric,Days from principal operative procedure to Unplanned Reoperation 1,
200,RETORRELATED,character,Unplanned Reoperation 1 related to principal operative procedure,
201,RETOR2PODAYS,numeric,Days from principal operative procedure to Unplanned Reoperation 2,
202,RETOR2RELATED,character,Unplanned Reoperation 2 related to principal operative procedure,
203,READMPODAYS1,numeric,Days from principal operative procedure to Any Readmission 1,
204,READMPODAYS2,numeric,Days from principal operative procedure to Any Readmission 2,
205,READMPODAYS3,numeric,Days from principal operative procedure to Any Readmission 3,
206,READMPODAYS4,numeric,Days from principal operative procedure to Any Readmission 4,
207,READMPODAYS5,numeric,Days from principal operative procedure to Any Readmission 5,
208,PODIAG10,character,Post-op diagnosis (ICD 10),
209,PODIAGTX10,character,Post-op Diagnosis Text,
210,WOUND_CLOSURE,character,Surgical wound closure,"All layers of incision (deep and superficial) fully closed; Only deep layers closed, superficial left open; No layers of incision are surgically closed"
211,PODIAG_OTHER,character,Other postoperative occurrence (ICD 9),
212,PODIAG_OTHER10,character,Other postoperative occurrence (ICD 10),
213,ANESTHES_OTHER,character,Additional anesthesia technique,
214,PUFYEAR,character,Year of PUF,
215,OTHCDIFF,character,Occurrences Clostridium Difficile (C. diff) colitis,C. diff; No Complication
216,NOTHCDIFF,numeric,Number of C. Diff Occurrences,
217,DOTHCDIFF,numeric,Days from operation until C. diff Complication,
218,EOL_WDCARE,character,Dne of Life-Withdrawal of Care,Yes; No
219,BLEED_UNITS_TOT,numeric,Postop total transfusion amount,
220,OTHERWRVU,numeric,Other Work Relative Value Unit,
221,CONWRVU,numeric,Concurrent Work Relative Value Unit,
222,UNPLANNEDREADMISSION,character,Unplanned Readmission,Yes; No
223,REOPORCPT,character,Unplanned Reoperation CPT,
224,REOPORICD9,character,The ICD-9 code for Unplanned Reoperation,
225,REOPORICD10,character,The ICD-10 code for Unplanned Reoperation,
226,READMSUSPREASON,character,Readmission related to suspected reason,Yes; No
227,READMRELATED,character,Unplanned readmission likely related to the principal procedure,Yes; No
228,READMRELICD9,character,"The ICD-9 code for the suspected reason if ""Other"" is chosen and the readmission is likely related to the principle operating procedure",
229,READMRELICD10,character,"The ICD-10 code for the suspected reason if ""Other"" is chosen and the readmission is likely related to the principle operating procedure",
230,READMUNRELSUSP,character,Readmission unrelated suspected reason,
231,READMUNRELICD9,character,"The ICD-9 code for the suspected reason if ""Other"" is chosen and the readmission is likely related to the principle operating procedure",
232,READMUNRELICD10,character,"The ICD-10 code for the suspected reason if ""Other"" is chosen and the readmission is likely related to the principle operating procedure",
